Project,Class Path,Test Smell,PR Link,Result
Aeron,\aeron-driver\src\test\java\io\aeron\driver\OptimalMulticastDelayGeneratorTest.java,Test Code Duplication,https://github.com/real-logic/aeron/pull/1168,Merged
Cas,\api\cas-server-core-api-configuration-model\src\test\java\org\apereo\cas\configuration\support\RelaxedPropertyNamesTests.java,Duplicate Assert,https://github.com/apereo/cas/pull/5113,Submission Error
Jenkins,\cli\src\test\java\hudson\cli\HexDumpTest.java,Duplicate Assert,https://github.com/jenkinsci/jenkins/pull/5376,Merged
kafka,\clients\src\test\java\org\apache\kafka\common\requests\EnvelopeResponseTest.java,Conditional Test,https://github.com/apache/kafka/pull/10682,Accepted
Seata,\common\src\test\java\io\seata\common\util\StringUtilsTest.java,Exception Handling,https://github.com/seata/seata/pull/3589,Merged
Camel,\components\camel-google-drive\src\test\java\org\apache\camel\component\google\drive\DriveChangesIntegrationTest.java,Conditional Test,https://github.com/apache/camel/pull/5256,Merged
Tutorials,\core-java-modules\core-java-io-2\src\test\java\com\baeldung\deletecontents\FilesClearDataUnitTest.java,Resource Optimism,https://github.com/eugenp/tutorials/pull/10789,Waiting Answer
Quarkus,\core\deployment\src\test\java\io\quarkus\deployment\CapabilityNameTest.java,Assertion Roulette,https://github.com/quarkusio/quarkus/pull/15990,Merged
MyBatisGenerator,\core\mybatis-generator-core\src\test\java\org\mybatis\generator\config\xml\PropertyParserTest.java,Test Code Duplication,https://github.com/mybatis/generator/pull/683,Merged
Dropwizard,\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,Test Code Duplication,https://github.com/dropwizard/dropwizard/pull/3949,Waiting Answer
Dubbo,\dubbo-common\src\test\java\org\apache\dubbo\common\utils\NetUtilsTest.java,Conditional Test,https://github.com/apache/dubbo/pull/7435,Merged
Janusgraph,\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\configuration\WritableConfigurationTest.java,Assertion Roulette,https://github.com/JanusGraph/janusgraph/pull/2460,Merged
Javaparser,\javaparser-core-testing\src\test\java\com\github\javaparser\ast\NodeListTest.java,Conditional Test,https://github.com/javaparser/javaparser/pull/3274,Waiting Answer
Jetty,\jetty-http\src\test\java\org\eclipse\jetty\http\SyntaxTest.java,Exception Handling,https://github.com/eclipse/jetty.project/pull/6133,Merged
Jmeter,\jmeter\src\core\src\test\java\org\apache\jorphan\TestXMLBuffer.java,Exception Handling,https://github.com/apache/jmeter/pull/652,Accepted / Closed
Jodd,\jodd-joy\src\test\java\jodd\joy\page\DbPagerTest.java,Duplicate Assert,https://github.com/oblac/jodd/pull/782,Merged
Cryptomator,\main\commons\src\test\java\org\cryptomator\common\settings\VaultSettingsJsonAdapterTest.java,Assertion Roulette,https://github.com/cryptomator/cryptomator/pull/1596,Merged
Flowable,\modules\flowable-engine\src\test\java\org\flowable\engine\test\api\runtime\ProcessInstanceCommentTest.java,Conditional Test,https://github.com/flowable/flowable-engine/pull/2926,Rejected
java-design-patterns,\multiton\src\test\java\com\iluwatar\multiton\NazgulEnumTest.java,Conditional Test,https://github.com/iluwatar/java-design-patterns/pull/1698,Merged
Mybatis-plus,\mybatis-plus\src\test\java\com\baomidou\mybatisplus\test\h2\H2UserTest.java,Conditional Test,https://github.com/baomidou/mybatis-plus/pull/3543,Merged
