Project,Absolute Path,Feature
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","assertFalse"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","assertNotNull"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","assertTrue"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","fail"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","Assertions"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\builder\src\test\java\io\quarkus\builder\BasicTests.java","Executable"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\CapabilityNameTest.java","assertEquals"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\CapabilityNameTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\dev\CompilerFlagsTest.java","assertAll"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\dev\CompilerFlagsTest.java","assertEquals"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\dev\CompilerFlagsTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\FeatureNameTest.java","assertEquals"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\FeatureNameTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\pkg\steps\NativeImageBuildStepTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\proxy\SimpleClassProxyTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\proxy\SimpleInterfaceProxyTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\recording\BytecodeRecorderTestCase.java","assertArrayEquals"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\recording\BytecodeRecorderTestCase.java","assertEquals"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\recording\BytecodeRecorderTestCase.java","assertNotNull"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\recording\BytecodeRecorderTestCase.java","assertTrue"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\recording\BytecodeRecorderTestCase.java","Assertions"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\recording\BytecodeRecorderTestCase.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\util\FileUtilTest.java","assertEquals"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\util\FileUtilTest.java","Test"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\util\GlobUtilTest.java","Assertions"
"1.10.2.Final quarkus","C:\JUnit5Projects\1.10.2.Final quarkus\core\deployment\src\test\java\io\quarkus\deployment\util\GlobUtilTest.java","Test"
