Project,Absolute Path,Feature
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\configuration\StatsdConfigTest.java","assertFalse"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\configuration\StatsdConfigTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","BeforeEach"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Test"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","assertNull"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","assertEquals"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\index\IndexerTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\HeadHandlerTest.java","assertArrayEquals"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\HeadHandlerTest.java","assertEquals"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\HeadHandlerTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\AnnotationControllerTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\filter\IncomingFilterTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\CookieFilterTest.java","assertNull"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\CookieFilterTest.java","assertEquals"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\util\FileUtilTest.java","assertThrows"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\ldap\LdapFacadeTest.java","assertFalse"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\LdapServerTest.java","assertEquals"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\LdapServerTest.java","assertFalse"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\LdapServerTest.java","assertNotNull"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\LdapServerTest.java","assertNull"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\LdapServerTest.java","assertTrue"
"1.5.10 opengrok","C:\JUnit5Projects\1.5.10 opengrok\plugins\src\test\java\opengrok\auth\plugin\UserWhiteListPluginTest.java","assertThrows"
