Project,Absolute Path,Feature
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\biz\paluch\redis\extensibility\MyExtendedRedisClientTest.java","AfterAll"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\biz\paluch\redis\extensibility\MyExtendedRedisClientTest.java","BeforeAll"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\biz\paluch\redis\extensibility\MyExtendedRedisClientTest.java","Test"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\AsyncConnectionIntegrationTests.java","Test"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\AsyncConnectionIntegrationTests.java","ExtendWith"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\AuthenticationIntegrationTests.java","BeforeEach"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\AuthenticationIntegrationTests.java","Test"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\AuthenticationIntegrationTests.java","ExtendWith"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\ClientIntegrationTests.java","Test"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\ClientIntegrationTests.java","ExtendWith"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\ClientMetricsIntegrationTests.java","Test"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\ClientMetricsIntegrationTests.java","ExtendWith"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\ClientOptionsIntegrationTests.java","Test"
"5.3.5.RELEASE lettuce-core","C:\JUnit5Projects\5.3.5.RELEASE lettuce-core\src\test\java\io\lettuce\core\ClientOptionsIntegrationTests.java","ExtendWith"
