Project,Absolute Path,Feature
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","ParameterizedTest"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","Arguments"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","MethodSource"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","ParameterizedTest"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","Arguments"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","MethodSource"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\conf\ConnectorsAutoConfigurationIT.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\IntegrationContextBuilderTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\IntegrationContextBuilderTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\BPMNErrorConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\BPMNMessageConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\MessageSubscriptionConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToErrorReceivedConverterTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToErrorReceivedConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToMessageReceivedConverterTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToMessageReceivedConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToMessageSentConverterTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToMessageSentConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToMessageWaitingConverterTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToMessageWaitingConverterTest.java","Test"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToSignalReceivedConverterTest.java","BeforeEach"
"Activiti","C:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\event\impl\ToSignalReceivedConverterTest.java","Test"
