Project,Absolute Path,Feature
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-app-engine\src\test\java\org\flowable\app\engine\test\cfg\ForceCloseMybatisConnectionPoolTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-app-engine\src\test\java\org\flowable\app\engine\test\persistence\EntitiesTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-app-engine-spring\src\test\java\org\flowable\app\spring\test\autodeployment\SpringAutoDeployTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-app-engine-spring\src\test\java\org\flowable\app\spring\test\autodeployment\SpringAutoDeployTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\BpmnModelWithDataObjectTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\BrokenBpmnModelWithPoolTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\CollapsedSubProcessConverterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\CommaSplitterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\EmptyModelTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\InCompleteSignalConverterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\MapExceptionConverterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\PoolsConverterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\ProcessWithCompensationConverterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\SubProcessConverterAutoLayoutTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-bpmn-converter\src\test\java\org\flowable\editor\language\xml\SubProcessMultiDiagramConverterTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncPingTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncPingTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncPingTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncPingTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncProcessTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncProcessTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncProcessTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\AsyncProcessTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyMapTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyMapTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyMapTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyMapTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CamelVariableBodyTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CustomContextTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CustomContextTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CustomContextTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\CustomContextTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\EmptyProcessTest.java","AfterEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\EmptyProcessTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\EmptyProcessTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\EmptyProcessTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\ErrorHandlingTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\ErrorHandlingTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\ErrorMapExceptionTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\ErrorMapExceptionTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\examples\initiator\InitiatorCamelCallTest.java","BeforeEach"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\examples\initiator\InitiatorCamelCallTest.java","Tag"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\examples\initiator\InitiatorCamelCallTest.java","Test"
"Flowable6.6.0release flowable-engine","C:\JUnit5Projects\Flowable6.6.0release flowable-engine\modules\flowable-camel\src\test\java\org\flowable\camel\examples\multiinstance\MultiInstanceTest.java","BeforeEach"
