Project,Absolute Path,Feature
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\AggregateEventHandlerTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\BatchEventProcessorTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\BatchEventProcessorTest.java","assertEquals"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\BatchEventProcessorTest.java","assertThrows"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\BatchEventProcessorTest.java","assertTrue"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\BusySpinWaitStrategyTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\DisruptorStressTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\ConsumerRepositoryTest.java","BeforeEach"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\ConsumerRepositoryTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\ConsumerRepositoryTest.java","assertThrows"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\ConsumerRepositoryTest.java","assertTrue"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\ConsumerRepositoryTest.java","fail"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","AfterEach"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","BeforeEach"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","Timeout"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","assertEquals"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","assertNotNull"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","assertSame"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","assertThrows"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","assertTrue"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\dsl\DisruptorTest.java","fail"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\EventPollerTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\EventPublisherTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\EventTranslatorTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\EventTranslatorTest.java","assertEquals"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\FatalExceptionHandlerTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\FatalExceptionHandlerTest.java","assertEquals"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\FixedSequenceGroupTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\IgnoreExceptionHandlerTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\LifecycleAwareTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\LiteTimeoutBlockingWaitStrategyTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\LiteTimeoutBlockingWaitStrategyTest.java","assertTrue"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\LiteTimeoutBlockingWaitStrategyTest.java","fail"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\MultiProducerSequencerTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\PhasedBackoffWaitStrategyTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferTest.java","assertEquals"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferTest.java","assertFalse"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferTest.java","assertThrows"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferTest.java","assertTrue"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferTest.java","fail"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferWithAssertingStubTest.java","BeforeEach"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\RingBufferWithAssertingStubTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\SequenceBarrierTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\SequenceBarrierTest.java","assertFalse"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\SequenceBarrierTest.java","assertTrue"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\SequenceGroupTest.java","Test"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\SequenceGroupTest.java","assertEquals"
"Release3.3.11 disruptor","C:\JUnit5Projects\Release3.3.11 disruptor\src\test\java\com\lmax\disruptor\SequenceGroupTest.java","assertTrue"
