Project,Absolute Path,Feature
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\controller\JobInfoControllerTest.java","BeforeEach"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\controller\JobInfoControllerTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\core\util\JacksonUtilTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\core\util\JacksonUtilTest.java","assertEquals"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\dao\XxlJobGroupDaoTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\dao\XxlJobInfoDaoTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\dao\XxlJobLogDaoTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\dao\XxlJobLogGlueDaoTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\dao\XxlJobRegistryDaoTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\util\I18nUtilTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\adminbiz\AdminBizTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\adminbiz\AdminBizTest.java","assertTrue"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\executorbiz\ExecutorBizTest.java","Assertions"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-admin\src\test\java\com\xxl\job\executorbiz\ExecutorBizTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-executor-samples\xxl-job-executor-sample-frameless\src\test\java\com\xxl\job\executor\sample\frameless\test\FramelessApplicationTest.java","Test"
"XXL-JOBv2.2.0，分布式任务调度平台 xxl-job","C:\JUnit5Projects\XXL-JOBv2.2.0，分布式任务调度平台 xxl-job\xxl-job-executor-samples\xxl-job-executor-sample-springboot\src\test\java\com\xxl\job\executor\test\XxlJobExecutorExampleBootApplicationTests.java","Test"
