Project,Absolute Path,Feature
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-audit\src\test\java\org\apereo\cas\audit\AuditableExecutionResultTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-audit\src\test\java\org\apereo\cas\audit\AuditableExecutionResultTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-audit\src\test\java\org\apereo\cas\audit\AuditableExecutionResultTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\adaptive\UnauthorizedAuthenticationExceptionTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\adaptive\UnauthorizedAuthenticationExceptionTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\adaptive\UnauthorizedAuthenticationExceptionTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationHandlerTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationHandlerTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationHandlerTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationMetaDataPopulatorTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationMetaDataPopulatorTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationMetaDataPopulatorTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPolicyTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPolicyTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPolicyTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPostProcessorTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPostProcessorTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPostProcessorTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPreProcessorTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPreProcessorTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationPreProcessorTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationTransactionTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationTransactionTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\AuthenticationTransactionTests.java","Assertions"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\principal\PersistentIdGeneratorTests.java","Tag"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\principal\PersistentIdGeneratorTests.java","Test"
"cas","C:\JUnit5Projects\cas\api\cas-server-core-api-authentication\src\test\java\org\apereo\cas\authentication\principal\PersistentIdGeneratorTests.java","Assertions"
