Project,Absolute Path,Feature
"debezium","C:\JUnit5Projects\debezium\debezium-quarkus-outbox\integration-tests\src\test\java\io\debezium\outbox\quarkus\it\OutboxTest.java","assertNotNull"
"debezium","C:\JUnit5Projects\debezium\debezium-quarkus-outbox\integration-tests\src\test\java\io\debezium\outbox\quarkus\it\OutboxTest.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-core\src\test\java\io\debezium\server\DebeziumServerIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-core\src\test\java\io\debezium\server\DebeziumServerIT.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-core\src\test\java\io\debezium\server\DebeziumServerTest.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-eventhubs\src\test\java\io\debezium\server\eventhubs\EventHubsIT.java","assertTrue"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-eventhubs\src\test\java\io\debezium\server\eventhubs\EventHubsIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-eventhubs\src\test\java\io\debezium\server\eventhubs\EventHubsIT.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-kinesis\src\test\java\io\debezium\server\kinesis\KinesisIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-kinesis\src\test\java\io\debezium\server\kinesis\KinesisIT.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-pubsub\src\test\java\io\debezium\server\pubsub\PubSubIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-pubsub\src\test\java\io\debezium\server\pubsub\PubSubIT.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-pulsar\src\test\java\io\debezium\server\pulsar\PulsarIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-server\debezium-server-pulsar\src\test\java\io\debezium\server\pulsar\PulsarIT.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","BeforeAll"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","MethodOrderer"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","Order"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","Tag"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","Test"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","TestMethodOrder"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","AfterAll"
"debezium","C:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","BeforeAll"
