Project,Absolute Path,Feature
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\TestResource.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\TestResource.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\TestURL.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\TestURL.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\timelineservice\TestApplicationEntity.java","assertTrue"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\timelineservice\TestApplicationEntity.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\timelineservice\TestApplicationEntity.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\timelineservice\TestTimelineMetric.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\timelineservice\TestTimelineMetric.java","fail"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\records\timelineservice\TestTimelineMetric.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraintParser.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraintParser.java","assertTrue"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraintParser.java","fail"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraintParser.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraints.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraints.java","assertNotNull"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\api\resource\TestPlacementConstraints.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\conf\TestResourceInformation.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\conf\TestResourceInformation.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\conf\TestResourceInformation.java","assertNotEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\conf\TestResourceInformation.java","fail"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\util\TestUnitsConversionUtil.java","Test"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\util\TestUnitsConversionUtil.java","assertEquals"
"hadoop","D:\JUnit5Projects\hadoop\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\test\java\org\apache\hadoop\yarn\util\TestUnitsConversionUtil.java","fail"
