Project,Absolute Path,Feature
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\BackupFilter.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\BasicCacheOperations.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ClientNodes.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ClusterAPI.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ClusteringOverview.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ConfiguringMetrics.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DataPartitioning.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DataStreaming.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DataStructures.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Discovery.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DiskCompression.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ExpiryPolicies.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\IgniteLifecycle.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\IgnitePersistence.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\JavaThinClient.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\NetworkConfiguration.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\NodeFilter.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\PartitionLossPolicyExample.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\PeerClassLoading.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\plugin\PluginExample.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Schemas.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Security.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\services\ServiceExample.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\SqlAPI.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\TcpIpDiscovery.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\TDE.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Tracing.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\UserCodeDeployment.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\UsingScanQueries.java","Test"
"ignite","C:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\WAL.java","Test"
