Project,Absolute Path,Feature
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\oauth\AuthorizationCodeGrantTests.java","BeforeEach"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\oauth\AuthorizationCodeGrantTests.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\oauth\AuthorizationCodeGrantTests.java","Assertions"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\oauth\ResourceOwnerPasswordGrantTests.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\oauth\ResourceOwnerPasswordGrantTests.java","assertNotNull"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\PasswordEncodeTest.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\repostiory\SysClientDetailsTest.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\repostiory\SysClientDetailsTest.java","assertNotNull"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\repostiory\SysUserRepositoryTest.java","DisplayName"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\repostiory\SysUserRepositoryTest.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-authorization-server\src\test\java\com\xkcoding\oauth\repostiory\SysUserRepositoryTest.java","Assertions"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-resource-server\src\test\java\com\xkcoding\oauth\AuthorizationTest.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-resource-server\src\test\java\com\xkcoding\oauth\AuthorizationTest.java","assertNotNull"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-resource-server\src\test\java\com\xkcoding\oauth\controller\TestControllerTest.java","DisplayName"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-resource-server\src\test\java\com\xkcoding\oauth\controller\TestControllerTest.java","Test"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-resource-server\src\test\java\com\xkcoding\oauth\controller\TestControllerTest.java","assertEquals"
"spring-boot-demo","C:\JUnit5Projects\spring-boot-demo\demo-oauth\oauth-resource-server\src\test\java\com\xkcoding\oauth\controller\TestControllerTest.java","assertThrows"
