Project,Absolute Path,Feature
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\AdditionalConfigurationMetadataTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisAutoConfigurationTest.java","AfterEach"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisAutoConfigurationTest.java","BeforeEach"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisAutoConfigurationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisLanguageDriverAutoConfigurationTest.java","AfterEach"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisLanguageDriverAutoConfigurationTest.java","BeforeEach"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisLanguageDriverAutoConfigurationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisPropertiesTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-annotation\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-annotation\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-annotation\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker-legacy\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker-legacy\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker-legacy\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-thymeleaf\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-thymeleaf\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-thymeleaf\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Disabled"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity-legacy\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Disabled"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity-legacy\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity-legacy\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity-legacy\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-war\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-war\src\test\java\sample\mybatis\SampleMybatisApplicationIT.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-war\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-web\src\test\java\sample\mybatis\mapper\CityMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-web\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-xml\src\test\java\sample\mybatis\dao\CityDaoTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-xml\src\test\java\sample\mybatis\mapper\HotelMapperTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-xml\src\test\java\sample\mybatis\SampleMybatisApplicationMainTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-xml\src\test\java\sample\mybatis\SampleMybatisApplicationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-test-autoconfigure\src\test\java\org\mybatis\spring\boot\test\autoconfigure\MybatisTestCustomFilterIntegrationTest.java","Test"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-test-autoconfigure\src\test\java\org\mybatis\spring\boot\test\autoconfigure\MybatisTestIntegrationTest.java","Assertions"
"spring-boot-starter","C:\JUnit5Projects\spring-boot-starter\mybatis-spring-boot-test-autoconfigure\src\test\java\org\mybatis\spring\boot\test\autoconfigure\MybatisTestIntegrationTest.java","Test"
