Project,Absolute Path,Feature
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ConstantBuilderTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ConstantBuilderTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ConstantBuilderTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ExecutionGraphManipulatorTest.java","assertArrayEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ExecutionGraphManipulatorTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ExecutionGraphManipulatorTest.java","assertNotNull"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\ExecutionGraphManipulatorTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\LauncherTest.java","assertTrue"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\LauncherTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\MainTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\ConstantPropagationStrategyTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\ConstantPropagationStrategyTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\ConstantPropagationStrategyTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\ConstantPropagationStrategyTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\DeadRemovalStrategyTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\DeadRemovalStrategyTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\PeepholeStrategyTest.java","assertArrayEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\PeepholeStrategyTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\PeepholeStrategyTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\PeepholeStrategyTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\UnreflectionStrategyTest.java","assertArrayEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\UnreflectionStrategyTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\simplify\src\test\java\org\cf\simplify\strategy\UnreflectionStrategyTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\configuration\ConfigurationTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\configuration\ConfigurationTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\configuration\ConfigurationTest.java","assertTrue"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\configuration\ConfigurationTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\configuration\ConfigurationTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\ExecutionGrapherTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\ExecutionGrapherTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\ExecutionGraphTest.java","assertArrayEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\ExecutionGraphTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\ExecutionGraphTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\ExecutionGraphTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\MethodStateTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\context\MethodStateTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\ClassBuilderTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\ClassBuilderTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\ClassManagerTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\ClassManagerTest.java","assertTrue"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\ClassManagerTest.java","BeforeAll"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\ClassManagerTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\FrameworkJarBuilderTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","assertArrayEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","assertNotEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","assertThrows"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","assertTrue"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliClassLoaderTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliParserTest.java","assertTrue"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\dex\SmaliParserTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\emulate\java_lang_Class_forName_Test.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\emulate\java_lang_Class_forName_Test.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\emulate\java_lang_Class_forName_Test.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\emulate\java_lang_reflect_Field_get_Test.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\emulate\java_lang_reflect_Field_get_Test.java","assertNotNull"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\emulate\java_lang_reflect_Field_get_Test.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\ExceptionHandlerAddressResolverTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\ExceptionHandlerAddressResolverTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\ExceptionHandlerAddressResolverTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\MethodReflectorTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\MethodReflectorTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\MethodReflectorTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\AGetOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\AGetOpTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\AGetOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\AGetOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\APutOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\APutOpTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\APutOpTest.java","assertTrue"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\APutOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\APutOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ArrayLengthOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ArrayLengthOpTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ArrayLengthOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ArrayLengthOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\BinaryMathOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\BinaryMathOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\BinaryMathOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CheckCastOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CheckCastOpTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CheckCastOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CheckCastOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CmpOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CmpOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CmpOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\CmpOpTest.java","ExtendWith"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ConstOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ConstOpTest.java","assertFalse"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ConstOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\ConstOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\FillArrayDataOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\FillArrayDataOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\FilledNewArrayTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\FilledNewArrayTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\FilledNewArrayTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\FilledNewArrayTest.java","ExtendWith"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IfOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IfOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IfOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IGetOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IGetOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IGetOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IGetOpTest.java","ExtendWith"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InstanceOfOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InstanceOfOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InvokeOpTest.java","assertEquals"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InvokeOpTest.java","assertNull"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InvokeOpTest.java","assertThrows"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InvokeOpTest.java","BeforeEach"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\InvokeOpTest.java","Test"
"v1.3.0-NowwithSmaliDebugger(sdbg) simplify","C:\JUnit5Projects\v1.3.0-NowwithSmaliDebugger(sdbg) simplify\smalivm\src\test\java\org\cf\smalivm\opcode\IPutOpTest.java","assertEquals"
