Project,Absolute Path,Feature
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","AfterEach"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","Assertions"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","BeforeEach"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","Test"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","RegisterExtension"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-jax-rs-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\jaxrs\deployment\SentinelJaxRsQuarkusAdapterTest.java","AfterEach"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-jax-rs-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\jaxrs\deployment\SentinelJaxRsQuarkusAdapterTest.java","Test"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-jax-rs-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\jaxrs\deployment\SentinelJaxRsQuarkusAdapterTest.java","RegisterExtension"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-jax-rs-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\jaxrs\deployment\SentinelJaxRsQuarkusAdapterTest.java","Assertions"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-demo\sentinel-demo-quarkus\src\test\java\com\alibaba\csp\sentinel\demo\quarkus\GreetingResourceTest.java","AfterEach"
"v1.8.0 Sentinel","C:\JUnit5Projects\v1.8.0 Sentinel\sentinel-demo\sentinel-demo-quarkus\src\test\java\com\alibaba\csp\sentinel\demo\quarkus\GreetingResourceTest.java","Test"
