Project,Absolute Path,Feature
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\buildSrc\src\test\java\io\reactor\gradle\CustomVersionPluginTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\buildSrc\src\test\java\io\reactor\gradle\DetectCiPluginTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\blockHoundTest\java\reactor\core\scheduler\BoundedElasticSchedulerBlockhoundTest.java","BeforeAll"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\blockHoundTest\java\reactor\core\scheduler\BoundedElasticSchedulerBlockhoundTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\blockHoundTest\java\reactor\core\scheduler\ReactorBlockHoundIntegrationSPITest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\blockHoundTest\java\reactor\core\scheduler\ReactorBlockHoundIntegrationTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\blockHoundTest\java\reactor\core\scheduler\ReactorBlockHoundIntegrationTest.java","Timeout"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\CoreTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\CurrentContextArchTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\DisposablesTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\DisposableTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\ExceptionsTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\ListCompositeDisposableTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\publisher\AbstractFluxConcatMapTest.java","Test"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\publisher\AbstractFluxConcatMapTest.java","Timeout"
"v3.3.9.RELEASE reactor-core","C:\JUnit5Projects\v3.3.9.RELEASE reactor-core\reactor-core\src\test\java\reactor\core\publisher\BaseSubscriberTest.java","Test"
