Project,Absolute Path,Feature
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\extTest\src\test\java\org\mockitousage\plugins\logger\MockitoLoggerTest.java","AfterAll"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\extTest\src\test\java\org\mockitousage\plugins\logger\MockitoLoggerTest.java","BeforeAll"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\extTest\src\test\java\org\mockitousage\plugins\logger\MockitoLoggerTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\extTest\src\test\java\org\mockitousage\plugins\logger\MockitoLoggerTest.java","ExtendWith"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\extTest\src\test\java\org\mockitousage\plugins\resolver\MockResolverTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\extTest\src\test\java\org\mockitousage\plugins\resolver\MockResolverTest.java","ExtendWith"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\JunitJupiterTest.java","Nested"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\JunitJupiterTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\JunitJupiterTest.java","ExtendWith"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\MultiLevelNestedTest.java","Nested"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\MultiLevelNestedTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\MultiLevelNestedTest.java","ExtendWith"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\StrictnessTest.java","Nested"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\StrictnessTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junit-jupiter\src\test\java\org\mockitousage\StrictnessTest.java","ExtendWith"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterExtensionTest\src\test\java\org\mockitousage\NoExtendsTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterInlineMockMakerExtensionTest\src\test\java\org\mockitousage\NoExtendsTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterParallelTest\src\test\java\org\mockito\NestedParallelTest.java","Nested"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterParallelTest\src\test\java\org\mockito\NestedParallelTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterParallelTest\src\test\java\org\mockito\NestedParallelTest.java","ExtendWith"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterParallelTest\src\test\java\org\mockito\ParallelBugTest.java","Test"
"v3.6.42 mockito","C:\JUnit5Projects\v3.6.42 mockito\subprojects\junitJupiterParallelTest\src\test\java\org\mockito\ParallelBugTest.java","ExtendWith"
