Project,Absolute Path,Feature
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java","assertEquals"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java","assertNotNull"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\test\java\org\apache\zookeeper\graph\servlets\FileLoaderTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\test\java\org\apache\zookeeper\graph\servlets\FileLoaderTest.java","Assertions"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\test\java\org\apache\zookeeper\graph\servlets\FsTest.java","Assertions"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\test\java\org\apache\zookeeper\graph\servlets\FsTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\test\java\org\apache\zookeeper\graph\servlets\ThroughputTest.java","Assertions"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\test\java\org\apache\zookeeper\graph\servlets\ThroughputTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-jute\src\test\java\org\apache\jute\BinaryInputArchiveTest.java","assertArrayEquals"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-jute\src\test\java\org\apache\jute\BinaryInputArchiveTest.java","assertEquals"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-jute\src\test\java\org\apache\jute\BinaryInputArchiveTest.java","assertNotNull"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-jute\src\test\java\org\apache\jute\BinaryInputArchiveTest.java","assertTrue"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-jute\src\test\java\org\apache\jute\BinaryInputArchiveTest.java","fail"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-jute\src\test\java\org\apache\jute\BinaryInputArchiveTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\ExportJvmInfoTest.java","assertEquals"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\ExportJvmInfoTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","assertEquals"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","assertSame"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","assertTrue"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","fail"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","AfterEach"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","BeforeEach"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-metrics-providers\zookeeper-prometheus-metrics\src\test\java\org\apache\zookeeper\metrics\prometheus\PrometheusMetricsProviderTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-recipes\zookeeper-recipes-election\src\test\java\org\apache\zookeeper\recipes\leader\LeaderElectionSupportTest.java","assertEquals"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-recipes\zookeeper-recipes-election\src\test\java\org\apache\zookeeper\recipes\leader\LeaderElectionSupportTest.java","assertNotNull"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-recipes\zookeeper-recipes-election\src\test\java\org\apache\zookeeper\recipes\leader\LeaderElectionSupportTest.java","AfterEach"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-recipes\zookeeper-recipes-election\src\test\java\org\apache\zookeeper\recipes\leader\LeaderElectionSupportTest.java","BeforeEach"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-recipes\zookeeper-recipes-election\src\test\java\org\apache\zookeeper\recipes\leader\LeaderElectionSupportTest.java","Test"
"zookeeper","C:\JUnit5Projects\zookeeper\zookeeper-recipes\zookeeper-recipes-lock\src\test\java\org\apache\zookeeper\recipes\lock\WriteLockTest.java","assertFalse"
