Project,Absolute Path,Feature
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\configuration\WritableConfigurationTest.java","AfterEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\configuration\WritableConfigurationTest.java","BeforeEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\configuration\WritableConfigurationTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\configuration\WritableConfigurationTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\DistributedStoreManagerTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\DistributedStoreManagerTest.java","assertEquals"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\DistributedStoreManagerTest.java","assertNotNull"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\DistributedStoreManagerTest.java","assumeTrue"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\ExpectedValueCheckingTest.java","assertEquals"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\ExpectedValueCheckingTest.java","assertTrue"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\ExpectedValueCheckingTest.java","AfterEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\ExpectedValueCheckingTest.java","BeforeEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\ExpectedValueCheckingTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\indexing\IndexProviderTest.java","AfterEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\indexing\IndexProviderTest.java","BeforeEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\indexing\IndexProviderTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\indexing\IndexProviderTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\KeyColumnValueStoreTest.java","api"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\KeyColumnValueStoreTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\KeyValueStoreTest.java","AfterEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\KeyValueStoreTest.java","BeforeEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\KeyValueStoreTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\KeyValueStoreTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\LockKeyColumnValueStoreTest.java","AfterEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\LockKeyColumnValueStoreTest.java","BeforeEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\LockKeyColumnValueStoreTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\LockKeyColumnValueStoreTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\log\LogTest.java","api"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\log\LogTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\MultiWriteKeyColumnValueStoreTest.java","AfterEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\MultiWriteKeyColumnValueStoreTest.java","BeforeEach"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\MultiWriteKeyColumnValueStoreTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\MultiWriteKeyColumnValueStoreTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\util\TestTimeUtility.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\diskstorage\util\TestTimeUtility.java","assertTrue"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\database\management\ManagementTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\database\management\ManagementTest.java","fail"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\GraphDatabaseConfigurationInstanceIdTest.java","Test"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\GraphDatabaseConfigurationInstanceIdTest.java","Assertions"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\JanusGraphConcurrentTest.java","api"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\JanusGraphConcurrentTest.java","assertEquals"
"0.5.2 janusgraph","C:\JUnit5Projects\0.5.2 janusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\JanusGraphConcurrentTest.java","assertTrue"
