"Project","File Path","Feature"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\clojure\ClojureAnalyzerFactoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\clojure\ClojureAnalyzerFactoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\pascal\PascalAnalyzerFactoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\pascal\PascalAnalyzerFactoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\configuration\StatsdConfigTest.java","assertFalse"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\configuration\StatsdConfigTest.java","assertTrue"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\BitKeeperRepositoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\BitKeeperRepositoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\BitKeeperRepositoryTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","BeforeEach"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Test"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","assertNull"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","assertTrue"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","assertEquals"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\history\RepositoryLookupTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\index\IndexerTest.java","assertTrue"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\HeadHandlerTest.java","assertArrayEquals"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\HeadHandlerTest.java","assertEquals"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\HeadHandlerTest.java","assertTrue"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\ProgressTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\ProgressTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\ProgressTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\ProgressTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\util\ProgressTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\web\UtilTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\web\UtilTest.java","Hamcrest"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\AnnotationControllerTest.java","assertTrue"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ConcurrentConfigurationControllerTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ConcurrentConfigurationControllerTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ConfigurationControllerTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ConfigurationControllerTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ConfigurationControllerTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ConfigurationControllerTest.java","Mockito"
"1.5.10 opengrok","D:\JUnit5Projects\1.5.10 opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\MessagesControllerTest.java","Hamcrest"
