"Project","File Path","Feature"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\HttpSyncPropertiesTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\HttpSyncPropertiesTest.java","Hamcrest"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SecretConfigurationTest.java","Assertions"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SecretPropertiesTest.java","Assertions"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SwaggerConfigurationTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SwaggerConfigurationTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\WebsocketSyncPropertiesTest.java","Hamcrest"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\WebsocketSyncPropertiesTest.java","Hamcrest"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","AssertJ"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Hamcrest"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\IndexControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java","Hamcrest"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PluginControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PluginControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PluginControllerTest.java","Mockito"
"2.2.1 soul","D:\JUnit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PluginControllerTest.java","Hamcrest"
