"Project","File Path","Feature"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\CLIConnectionFactoryTest.java","Assertions"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\CLIConnectionFactoryTest.java","BeforeEach"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\CLIConnectionFactoryTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\HexDumpTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\HexDumpTest.java","Execution"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\HexDumpTest.java","ExecutionMode"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\HexDumpTest.java","assertEquals"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java","assertEquals"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java","Execution"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java","ExecutionMode"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java","assertNotNull"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java","assertThrows"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\util\QuotedStringTokenizerTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\cli\src\test\java\hudson\util\QuotedStringTokenizerTest.java","Assertions"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\ClassicPluginStrategyTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\ClassicPluginStrategyTest.java","assertNotNull"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\ClassicPluginStrategyTest.java","assertNull"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\ClassicPluginStrategyTest.java","assertTrue"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\handlers\ViewOptionHandlerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\handlers\ViewOptionHandlerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\handlers\ViewOptionHandlerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\handlers\ViewOptionHandlerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\handlers\ViewOptionHandlerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\handlers\ViewOptionHandlerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\cli\ListJobsCommandTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\console\UrlAnnotatorTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\console\UrlAnnotatorTest.java","assertEquals"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\EnvVarsTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\FilePathTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\FilePathTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\FilePathTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\FilePathTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\MarkupTextTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\MarkupTextTest.java","assertEquals"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ActionableTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ActionableTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\BuildStatusSummaryTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\BuildStatusSummaryTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ChoiceParameterDefinitionTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ChoiceParameterDefinitionTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ComputerTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ComputerTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\EnvironmentContributingActionTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\EnvironmentContributingActionTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\FingerprintTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\FingerprintTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\FingerprintTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ItemsTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\JobTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\JobTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\JobTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\listeners\SCMListenerTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\LoadStatisticsTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\LoadStatisticsTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\QueueTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\QueueTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\QueueTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\QueueTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\RunTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UpdateCenterTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UpdateCenterTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UserIdMapperTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UserIdMapperTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UserIdMigratorTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UserIdMigratorTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UserTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\UserTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\model\ViewTest.java","Mockito"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","Test"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","TempDir"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","Hamcrest"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","assertEquals"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginManagerTest.java","fail"
"2.269 jenkins","D:\JUnit5Projects\2.269 jenkins\core\src\test\java\hudson\PluginWrapperTest.java","AfterAll"
