"Project","File Path","Feature"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","AssertJ"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","Test"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","ParameterizedTest"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","Arguments"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\model\impl\ProcessVariablesMapTypeRegistryTest.java","MethodSource"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","AssertJ"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","Test"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","ParameterizedTest"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","Arguments"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-model-impl\src\test\java\org\activiti\api\runtime\test\model\impl\IntegrationContextImplTest.java","MethodSource"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\conf\ConnectorsAutoConfigurationIT.java","Test"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\conf\ConnectorsAutoConfigurationIT.java","AssertJ"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","BeforeEach"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Test"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Mockito"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Mockito"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","AssertJ"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Mockito"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Mockito"
"Activiti","D:\JUnit5Projects\Activiti\activiti-core\activiti-api-impl\activiti-api-process-runtime-impl\src\test\java\org\activiti\runtime\api\connector\DefaultServiceTaskBehaviorTest.java","Mockito"
