"Project","File Path","Feature"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentAutoRegistrationPropertiesImplTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentAutoRegistrationPropertiesImplTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentAutoRegistrationPropertiesImplTest.java","EnableRuleMigrationSupport"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentAutoRegistrationPropertiesImplTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","EnableRuleMigrationSupport"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","AfterEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","EnableRuleMigrationSupport"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentHTTPClientControllerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","AfterEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","EnableRuleMigrationSupport"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerIntegrationTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\AgentPluginsInitializerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\ApplicationContextTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\JobRunnerTest.java","AfterEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\JobRunnerTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\JobRunnerTest.java","Nested"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\JobRunnerTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\JobRunnerTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\JobRunnerTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\AgentUpgradeServiceTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\AgentUpgradeServiceTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\AgentUpgradeServiceTest.java","EnableRuleMigrationSupport"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\AgentUpgradeServiceTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\AgentUpgradeServiceTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\AgentUpgradeServiceTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","AssertJ"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\service\TokenRequesterTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\statusapi\AgentStatusHttpdTest.java","BeforeEach"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\statusapi\AgentStatusHttpdTest.java","Test"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\statusapi\AgentStatusHttpdTest.java","Mockito"
"GoCD20.10.0 gocd","D:\JUnit5Projects\GoCD20.10.0 gocd\agent\src\test\java\com\thoughtworks\go\agent\statusapi\AgentStatusHttpdTest.java","AssertJ"
