Project,Absolute Path,Feature
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\http-server-netty\src\test\groovy\io\micronaut\http\server\netty\http2\Http2PostTest.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\http-server-netty\src\test\groovy\io\micronaut\http\server\netty\http2\Http2PostTest.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\http-server-netty\src\test\groovy\io\micronaut\http\server\netty\http2\Http2PostTest.java","TestInstance"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\inject\src\test\java\io\micronaut\context\PropertySourceTest.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\inject\src\test\java\io\micronaut\context\PropertySourceTest.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\client\filter\GoogleAuthFilterSpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\client\filter\GoogleAuthFilterSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\client\filter\GoogleAuthFilterSpec.java","Executable"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\client\filter\GoogleAuthFilterSpec.java","assertTrue"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\config\builder\VehicleSpec.java","assertEquals"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\config\env\OrderTest.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\datavalidation\params\EmailControllerSpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\http\client\bind\annotation\AnnotationBinderSpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\http\client\bind\annotation\AnnotationBinderSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\http\client\bind\type\CustomBinderSpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\http\client\bind\type\CustomBinderSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\httpclientexceptionbody\BindHttpClientExceptionBodySpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\i18n\I18nSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\i18n\I18nSpec.java","assertEquals"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\inject\generated\VerifyDefinitionInjectionSpec.java","assertTrue"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\inject\generated\VerifyDefinitionInjectionSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\inject\generated\VerifyIntrospectionSpec.java","assertTrue"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\inject\generated\VerifyIntrospectionSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\custom\DurationPatternValidatorSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\custom\DurationPatternValidatorSpec.java","assertEquals"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\custom\DurationPatternValidatorSpec.java","assertThrows"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\PersonServiceSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\PersonServiceSpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\pojo\PersonServiceSpec.java","Test"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\ioc\validation\pojo\PersonServiceSpec.java","Assertions"
"Micronaut2.2.0 micronaut-core","C:\JUnit5Projects\Micronaut2.2.0 micronaut-core\test-suite\src\test\java\io\micronaut\docs\qualifiers\replaces\defaultimpl\DefaultImplementationSpec.java","Assertions"
