"Project","File Path","Feature"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\FullyQualifiedJavaTypeTest.java","assertEquals"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\FullyQualifiedJavaTypeTest.java","assertFalse"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\FullyQualifiedJavaTypeTest.java","assertTrue"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\FullyQualifiedJavaTypeTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InnerClassTest.java","Assertions"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InnerClassTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InnerInterfaceTest.java","Assertions"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InnerInterfaceTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InterfaceTest.java","AssertJ"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InterfaceTest.java","Assertions"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\InterfaceTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\JavaDomUtilsTest.java","Assertions"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\JavaDomUtilsTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\MethodTest.java","Assertions"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\MethodTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\TypeParameterTest.java","Assertions"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\java\TypeParameterTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\kotlin\FullyQualifiedKotlinTypeTest.java","AssertJ"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\kotlin\FullyQualifiedKotlinTypeTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\kotlin\JavaToKotlinTypeConverterTest.java","AssertJ"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\dom\kotlin\JavaToKotlinTypeConverterTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\FullyQualifiedTableTest.java","AssertJ"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\FullyQualifiedTableTest.java","Test"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\GeneratedJavaFileTest.java","AssertJ"
"MyBatisGeneratorRelease1.4.0 generator","D:\JUnit5Projects\MyBatisGeneratorRelease1.4.0 generator\core\mybatis-generator-core\src\test\java\org\mybatis\generator\api\GeneratedJavaFileTest.java","Test"
