"Project","File Path","Feature"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\codec\JacksonSpanDecoderTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\codec\MoshiSpanDecoderTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\internal\Proto3CodecInteropTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\internal\Proto3CodecInteropTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\internal\Proto3CodecInteropTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\server\ServerIntegratedBenchmark.java","AfterEach"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\server\ServerIntegratedBenchmark.java","BeforeEach"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\server\ServerIntegratedBenchmark.java","Disabled"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\benchmarks\src\test\java\zipkin2\server\ServerIntegratedBenchmark.java","Test"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\zipkin-collector\activemq\src\test\java\zipkin2\collector\activemq\ITActiveMQCollector.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\zipkin-collector\core\src\test\java\zipkin2\collector\CollectorSamplerTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\zipkin-collector\core\src\test\java\zipkin2\collector\CollectorSamplerTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\zipkin-collector\core\src\test\java\zipkin2\collector\CollectorTest.java","AssertJ"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\zipkin-collector\core\src\test\java\zipkin2\collector\CollectorTest.java","Mockito"
"Zipkin2.22.1 zipkin","D:\JUnit5Projects\Zipkin2.22.1 zipkin\zipkin-collector\core\src\test\java\zipkin2\collector\CollectorTest.java","Mockito"
