Project,Absolute Path,Feature
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventDissectorTest.java","Test"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventDissectorTest.java","assertEquals"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventEncoderTest.java","Test"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventEncoderTest.java","assertEquals"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventEncoderTest.java","assertNotEquals"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","AfterEach"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","Test"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","ParameterizedTest"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","EnumSource"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","ValueSource"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","Assertions"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","EXCLUDE"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveEventLoggerTest.java","INCLUDE"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveLoggingAgentTest.java","AfterEach"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveLoggingAgentTest.java","Test"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ArchiveLoggingAgentTest.java","Timeout"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ClusterEventDissectorTest.java","Test"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ClusterEventDissectorTest.java","assertEquals"
"aeron","C:\JUnit5Projects\aeron\aeron-agent\src\test\java\io\aeron\agent\ClusterEventEncoderTest.java","Test"
