"Project","File Path","Feature"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogJsonSchemaTest.java","Test"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogJsonSchemaTest.java","assertEquals"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogJsonSchemaTest.java","assertFalse"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogJsonSchemaTest.java","assertNotNull"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogJsonSchemaTest.java","assertTrue"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","BeforeAll"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","Test"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","assertEquals"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","assertFalse"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","assertNotNull"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","assertNull"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog\src\test\java\org\apache\camel\catalog\CamelCatalogTest.java","assertTrue"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-lucene\src\test\java\org\apache\camel\catalog\lucene\CamelCatalogLuceneTest.java","BeforeAll"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-lucene\src\test\java\org\apache\camel\catalog\lucene\CamelCatalogLuceneTest.java","Test"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-lucene\src\test\java\org\apache\camel\catalog\lucene\CamelCatalogLuceneTest.java","TestInstance"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-lucene\src\test\java\org\apache\camel\catalog\lucene\CamelCatalogLuceneTest.java","assertEquals"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-lucene\src\test\java\org\apache\camel\catalog\lucene\CamelCatalogLuceneTest.java","assertFalse"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-lucene\src\test\java\org\apache\camel\catalog\lucene\CamelCatalogLuceneTest.java","assertTrue"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-maven\src\test\java\org\apache\camel\catalog\maven\MavenArtifactProviderTest.java","Disabled"
"camel","D:\JUnit5Projects\camel\catalog\camel-catalog-maven\src\test\java\org\apache\camel\catalog\maven\MavenArtifactProviderTest.java","Test"
