Project,Absolute Path,Feature
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule21filename\OuterTypeFilenameTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule231filetab\FileTabCharacterTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule232specialescape\IllegalTokenTextTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule233nonascii\AvoidEscapedUnicodeCharactersTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule32packagestate\LineLengthTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule331nowildcard\AvoidStarImportTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule332nolinewrap\NoLineWrapTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule333orderingandspacing\CustomImportOrderTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule341onetoplevel\OneTopLevelClassTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule3421overloadsplit\OverloadMethodsDeclarationOrderTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule3sourcefile\EmptyLineSeparatorTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter4formatting\rule411bracesareused\NeedBracesTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter4formatting\rule412nonemptyblocks\LeftCurlyTest.java","Test"
"checkstyle","C:\JUnit5Projects\checkstyle\src\it\java\com\google\checkstyle\test\chapter4formatting\rule412nonemptyblocks\RightCurlyTest.java","Test"
