"Project","File Path","Feature"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\CreateMetaTest.java","Test"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\CreateMetaTest.java","Hamcrest"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\CreateMetaTest.java","Hamcrest"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\CreateMetaTest.java","assertEquals"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\RemoveUserInfoFromUrlTest.java","Test"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\RemoveUserInfoFromUrlTest.java","Hamcrest"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\RemoveUserInfoFromUrlTest.java","Hamcrest"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\RemoveUserInfoFromUrlTest.java","assertEquals"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\create-meta\java\src\test\java\io\cucumber\createmeta\RemoveUserInfoFromUrlTest.java","assertNull"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\cucumber-expressions\java\src\test\java\io\cucumber\cucumberexpressions\ArgumentTest.java","Test"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\cucumber-expressions\java\src\test\java\io\cucumber\cucumberexpressions\ArgumentTest.java","assertEquals"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\cucumber-expressions\java\src\test\java\io\cucumber\cucumberexpressions\BuiltInParameterTransformerTest.java","Test"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\cucumber-expressions\java\src\test\java\io\cucumber\cucumberexpressions\BuiltInParameterTransformerTest.java","Executable"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\cucumber-expressions\java\src\test\java\io\cucumber\cucumberexpressions\BuiltInParameterTransformerTest.java","Hamcrest"
"cucumber-gherkin","D:\JUnit5Projects\cucumber-gherkin\v15.0.2 cucumber\cucumber-expressions\java\src\test\java\io\cucumber\cucumberexpressions\BuiltInParameterTransformerTest.java","Hamcrest"
