"Project","File Path","Feature"
"debezium","D:\JUnit5Projects\debezium\debezium-connector-mysql\src\test\java\io\debezium\connector\mysql\ParallelSnapshotReaderTest.java","Mockito"
"debezium","D:\JUnit5Projects\debezium\debezium-connector-mysql\src\test\java\io\debezium\connector\mysql\ParallelSnapshotReaderTest.java","Mockito"
"debezium","D:\JUnit5Projects\debezium\debezium-connector-mysql\src\test\java\io\debezium\connector\mysql\ParallelSnapshotReaderTest.java","Mockito"
"debezium","D:\JUnit5Projects\debezium\debezium-core\src\test\java\io\debezium\util\HashCodeTest.java","Hamcrest"
"debezium","D:\JUnit5Projects\debezium\debezium-core\src\test\java\io\debezium\util\HashCodeTest.java","Hamcrest"
"debezium","D:\JUnit5Projects\debezium\debezium-quarkus-outbox\integration-tests\src\test\java\io\debezium\outbox\quarkus\it\OutboxTest.java","assertNotNull"
"debezium","D:\JUnit5Projects\debezium\debezium-quarkus-outbox\integration-tests\src\test\java\io\debezium\outbox\quarkus\it\OutboxTest.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-core\src\test\java\io\debezium\server\DebeziumServerIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-core\src\test\java\io\debezium\server\DebeziumServerIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-core\src\test\java\io\debezium\server\DebeziumServerTest.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-eventhubs\src\test\java\io\debezium\server\eventhubs\EventHubsIT.java","assertTrue"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-eventhubs\src\test\java\io\debezium\server\eventhubs\EventHubsIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-eventhubs\src\test\java\io\debezium\server\eventhubs\EventHubsIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-kinesis\src\test\java\io\debezium\server\kinesis\KinesisIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-kinesis\src\test\java\io\debezium\server\kinesis\KinesisIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-pubsub\src\test\java\io\debezium\server\pubsub\PubSubIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-pubsub\src\test\java\io\debezium\server\pubsub\PubSubIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-pulsar\src\test\java\io\debezium\server\pulsar\PulsarIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-server\debezium-server-pulsar\src\test\java\io\debezium\server\pulsar\PulsarIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","AssertJ"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","BeforeAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","MethodOrderer"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","Order"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","Tag"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\db2\DB2ConnectorIT.java","TestMethodOrder"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","AssertJ"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","BeforeAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","MethodOrderer"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","Order"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","Tag"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mongodb\MongoConnectorIT.java","TestMethodOrder"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","AssertJ"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","BeforeAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","MethodOrderer"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","Order"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","Tag"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\mysql\MySqlConnectorIT.java","TestMethodOrder"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","AssertJ"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","BeforeAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","MethodOrderer"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","Order"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","Tag"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\postgresql\PostgreSqlConnectorIT.java","TestMethodOrder"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","AssertJ"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","AfterAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","BeforeAll"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","MethodOrderer"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","Order"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","Tag"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","Test"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-openshift\src\test\java\io\debezium\testing\openshift\sqlserver\SqlServerConnectorIT.java","TestMethodOrder"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-testcontainers\src\test\java\io\debezium\testing\testcontainers\ConnectorConfigurationTest.java","Mockito"
"debezium","D:\JUnit5Projects\debezium\debezium-testing\debezium-testing-testcontainers\src\test\java\io\debezium\testing\testcontainers\ConnectorConfigurationTest.java","Mockito"
