"Project","File Path","Feature"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","BeforeEach"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Test"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","AssertJ"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthBaseTest.java","AfterEach"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthBaseTest.java","BeforeEach"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthBaseTest.java","Test"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthBaseTest.java","AssertJ"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthBaseTest.java","AssertJ"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthFilterTest.java","Test"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthFilterTest.java","assertTrue"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthFilterTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\AuthFilterTest.java","Mockito"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\basic\BasicCredentialsTest.java","Test"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\basic\BasicCredentialsTest.java","AssertJ"
"dropwizard","D:\JUnit5Projects\dropwizard\dropwizard-auth\src\test\java\io\dropwizard\auth\CachingAuthenticatorTest.java","BeforeEach"
