"Project","File Path","Feature"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java","Test"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java","Test"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java","Test"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\directory\StaticDirectoryTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\directory\StaticDirectoryTest.java","Test"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java","Test"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java","Mockito"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java","Mockito"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java","Mockito"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\ConsistentHashLoadBalanceTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\ConsistentHashLoadBalanceTest.java","Test"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LeastActiveBalanceTest.java","Assertions"
"dubbo-2.7.8 dubbo","D:\JUnit5Projects\dubbo-2.7.8 dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LeastActiveBalanceTest.java","Disabled"
