"Project","File Path","Feature"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\mr\TestHiveAccumuloTableInputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\mr\TestHiveAccumuloTableOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\TestAccumuloPredicateHandler.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\serde\TestAccumuloRowSerializer.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloConnectionParameters.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloDefaultIndexScanner.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloStorageHandler.java","Mockito"
"hive","D:\JUnit5Projects\hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestHiveAccumuloHelper.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\schematool\TestHiveSchemaTool.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\schematool\TestHiveSchemaTool.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\schematool\TestHiveSchemaTool.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\schematool\TestHiveSchemaTool.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestBeeLineOpts.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestBufferedRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestBufferedRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestBufferedRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestBufferedRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestBufferedRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestClientCommandHookFactory.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestClientCommandHookFactory.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestClientCommandHookFactory.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestClientCommandHookFactory.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestIncrementalRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestIncrementalRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestIncrementalRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestIncrementalRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestIncrementalRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestIncrementalRows.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONFileOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestJSONOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestTableOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestTableOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestTableOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestTableOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\beeline\src\test\org\apache\hive\beeline\TestTableOutputFormat.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\cli\src\test\org\apache\hadoop\hive\cli\TestCliDriverMethods.java","Mockito"
"hive","D:\JUnit5Projects\hive\common\src\test\org\apache\hadoop\hive\common\TestBlobStorageUtils.java","Mockito"
"hive","D:\JUnit5Projects\hive\common\src\test\org\apache\hadoop\hive\common\TestBlobStorageUtils.java","Mockito"
"hive","D:\JUnit5Projects\hive\common\src\test\org\apache\hadoop\hive\common\TestFileUtils.java","Mockito"
"hive","D:\JUnit5Projects\hive\common\src\test\org\apache\hadoop\hive\common\TestFileUtils.java","Mockito"
