"Project","File Path","Feature"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\BackupFilter.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\BasicCacheOperations.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ClientNodes.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ClusterAPI.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ClusteringOverview.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ConfiguringMetrics.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DataPartitioning.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DataStreaming.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DataStructures.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Discovery.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\DiskCompression.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\ExpiryPolicies.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\IgniteLifecycle.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\IgnitePersistence.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\JavaThinClient.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\NetworkConfiguration.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\NodeFilter.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\PartitionLossPolicyExample.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\PeerClassLoading.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\plugin\PluginExample.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Schemas.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Security.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\services\ServiceExample.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\SqlAPI.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\TcpIpDiscovery.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\TDE.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\Tracing.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\UserCodeDeployment.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\UsingScanQueries.java","Test"
"ignite","D:\JUnit5Projects\ignite\docs\_docs\code-snippets\java\src\main\java\org\apache\ignite\snippets\WAL.java","Test"
