Project,Absolute Path,Feature
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AbstractDocumentTest.java","assertEquals"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AbstractDocumentTest.java","assertNotNull"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AbstractDocumentTest.java","assertTrue"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AbstractDocumentTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AppTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AppTest.java","assertDoesNotThrow"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\DomainTest.java","assertEquals"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\DomainTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java","assertEquals"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java","assertTrue"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AppTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AppTest.java","assertDoesNotThrow"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\AppTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\AppTest.java","assertDoesNotThrow"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitorTest.java","AfterEach"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitorTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForUnixVisitorTest.java","AfterEach"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForUnixVisitorTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\HayesTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ZoomTest.java","Test"
"java-design-patterns","C:\JUnit5Projects\java-design-patterns\adapter\src\test\java\com\iluwatar\adapter\AdapterPatternTest.java","BeforeEach"
