"Project","File Path","Feature"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\helper\DataUtilTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\helper\DataUtilTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\helper\HttpConnectionTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\helper\HttpConnectionTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\helper\W3CDomTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\helper\W3CDomTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectIT.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectIT.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectIT.java","assertTrue"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectTest.java","AfterAll"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectTest.java","BeforeAll"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ConnectTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ParseTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\ParseTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\UrlConnectTest.java","Disabled"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\UrlConnectTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\integration\UrlConnectTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\internal\ConstrainableInputStreamTest.java","Disabled"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\internal\ConstrainableInputStreamTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\internal\ConstrainableInputStreamTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\internal\StringUtilTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\internal\StringUtilTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\AttributesTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\AttributesTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\AttributeTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\AttributeTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\CommentTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\CommentTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\DocumentTest.java","Disabled"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\DocumentTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\DocumentTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\DocumentTypeTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\DocumentTypeTest.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\DocumentTypeTest.java","assertThrows"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\ElementIT.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\ElementIT.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\ElementIT.java","assertTrue"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\ElementTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\ElementTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\EntitiesTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\EntitiesTest.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\FormElementTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\FormElementTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\LeafNodeTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\LeafNodeTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\NodeTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\NodeTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\TextNodeTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\nodes\TextNodeTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\AttributeParseTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\AttributeParseTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\CharacterReaderTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\CharacterReaderTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlParserTest.java","Disabled"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlParserTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlParserTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlTreeBuilderStateTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlTreeBuilderStateTest.java","assertArrayEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlTreeBuilderStateTest.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlTreeBuilderTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\HtmlTreeBuilderTest.java","assertArrayEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\ParserIT.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\ParserIT.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\ParserIT.java","assertTrue"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\ParserTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\ParserTest.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TagTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TagTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokeniserStateTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokeniserStateTest.java","assertArrayEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokeniserStateTest.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokeniserTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokeniserTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokenQueueTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokenQueueTest.java","assertEquals"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\TokenQueueTest.java","fail"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\XmlTreeBuilderTest.java","Disabled"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\XmlTreeBuilderTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\parser\XmlTreeBuilderTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\safety\CleanerTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\safety\CleanerTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\CssTest.java","BeforeAll"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\CssTest.java","BeforeEach"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\CssTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\CssTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\ElementsTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\ElementsTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\QueryParserTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\QueryParserTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\SelectorTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\SelectorTest.java","Assertions"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\TraversorTest.java","Test"
"jsoup1.13.1 jsoup","D:\JUnit5Projects\jsoup1.13.1 jsoup\src\test\java\org\jsoup\select\TraversorTest.java","assertEquals"
