Project,Absolute Path,Feature
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\autoconstructor\AutoConstructorTest.java","assertNotNull"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\autoconstructor\AutoConstructorTest.java","assertThrows"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\autoconstructor\AutoConstructorTest.java","BeforeAll"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\autoconstructor\AutoConstructorTest.java","Test"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\BindingTest.java","Assertions"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\BindingTest.java","Assertions"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\BindingTest.java","BeforeAll"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\BindingTest.java","Disabled"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\BindingTest.java","Test"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\FlushTest.java","assertNotNull"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\FlushTest.java","BeforeAll"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\FlushTest.java","Test"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\MapperMethodParamTest.java","BeforeAll"
"mybatis-3.5.6 mybatis-3","C:\JUnit5Projects\mybatis-3.5.6 mybatis-3\src\test\java\org\apache\ibatis\binding\MapperMethodParamTest.java","Test"
