"Project","File Path","Feature"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractCompositeByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractCompositeByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractCompositeByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractPooledByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractPooledByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\AbstractPooledByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ByteBufDerivationTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ByteBufDerivationTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ByteBufUtilTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ByteBufUtilTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ByteBufUtilTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\EmptyByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\EmptyByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\LongLongHashMapTest.java","Test"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\LongLongHashMapTest.java","AssertJ"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\LongPriorityQueueTest.java","Test"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\LongPriorityQueueTest.java","Executable"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\LongPriorityQueueTest.java","AssertJ"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\LongPriorityQueueTest.java","Assertions"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ReadOnlyByteBufTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\ReadOnlyByteBufTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\SimpleLeakAwareCompositeByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\SimpleLeakAwareCompositeByteBufTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\buffer\src\test\java\io\netty\buffer\UnpooledTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\bytes\ByteArrayDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\bytes\ByteArrayDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\bytes\ByteArrayEncoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\bytes\ByteArrayEncoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\AbstractIntegrationTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\AbstractIntegrationTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\compression\Lz4FrameEncoderTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\LineBasedFrameDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\LineBasedFrameDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\MessageAggregatorTest.java","Mockito"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\protobuf\ProtobufVarint32FrameDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\protobuf\ProtobufVarint32FrameDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\protobuf\ProtobufVarint32FrameDecoderTest.java","Hamcrest"
"netty","D:\JUnit5Projects\netty\codec\src\test\java\io\netty\handler\codec\protobuf\ProtobufVarint32LengthFieldPrependerTest.java","Hamcrest"
