"Project","File Path","Feature"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerAdviceOrderIntegrationTests.java","Nested"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerAdviceOrderIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerAdviceOrderIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerAdviceOrderIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerScopeIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\config\AopNamespaceHandlerScopeIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AdvisorAutoProxyCreatorIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AdvisorAutoProxyCreatorIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AspectJAutoProxyAdviceOrderIntegrationTests.java","Nested"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AspectJAutoProxyAdviceOrderIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AspectJAutoProxyAdviceOrderIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\aop\framework\autoproxy\AspectJAutoProxyAdviceOrderIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\beans\factory\xml\ComponentBeanDefinitionParserTests.java","AfterAll"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\beans\factory\xml\ComponentBeanDefinitionParserTests.java","BeforeAll"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\beans\factory\xml\ComponentBeanDefinitionParserTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\beans\factory\xml\ComponentBeanDefinitionParserTests.java","TestInstance"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\beans\factory\xml\ComponentBeanDefinitionParserTests.java","Lifecycle"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\beans\factory\xml\ComponentBeanDefinitionParserTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\cache\annotation\EnableCachingIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\cache\annotation\EnableCachingIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\cache\annotation\EnableCachingIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\jsr330\ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests.java","AfterEach"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\jsr330\ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests.java","BeforeEach"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\jsr330\ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\jsr330\ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\scope\ClassPathBeanDefinitionScannerScopeIntegrationTests.java","AfterEach"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\scope\ClassPathBeanDefinitionScannerScopeIntegrationTests.java","BeforeEach"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\scope\ClassPathBeanDefinitionScannerScopeIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\context\annotation\scope\ClassPathBeanDefinitionScannerScopeIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\core\env\EnvironmentSystemIntegrationTests.java","BeforeEach"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\core\env\EnvironmentSystemIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\core\env\EnvironmentSystemIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\core\env\EnvironmentSystemIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\core\env\PropertyPlaceholderConfigurerEnvironmentIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\expression\spel\support\Spr7538Tests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\scheduling\annotation\ScheduledAndTransactionalAnnotationIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\scheduling\annotation\ScheduledAndTransactionalAnnotationIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\scheduling\annotation\ScheduledAndTransactionalAnnotationIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\scheduling\annotation\ScheduledAndTransactionalAnnotationIntegrationTests.java","Mockito"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\transaction\annotation\EnableTransactionManagementIntegrationTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\transaction\annotation\EnableTransactionManagementIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\transaction\annotation\EnableTransactionManagementIntegrationTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\transaction\annotation\ProxyAnnotationDiscoveryTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\integration-tests\src\test\java\org\springframework\transaction\annotation\ProxyAnnotationDiscoveryTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AbstractAspectJAdvisorFactoryTests.java","Disabled"
"spring-framework","D:\JUnit5Projects\spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AbstractAspectJAdvisorFactoryTests.java","Test"
"spring-framework","D:\JUnit5Projects\spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AbstractAspectJAdvisorFactoryTests.java","AssertJ"
"spring-framework","D:\JUnit5Projects\spring-framework\spring-aop\src\test\java\org\springframework\aop\aspectj\annotation\AbstractAspectJAdvisorFactoryTests.java","AssertJ"
