"Project","File Path","Feature"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\model\ValidatorTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\model\ValidatorTests.java","AssertJ"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","AssertJ"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Hamcrest"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Hamcrest"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","BeforeEach"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Hamcrest"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Hamcrest"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Hamcrest"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Hamcrest"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\OwnerControllerTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetControllerTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetControllerTests.java","AssertJ"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetControllerTests.java","BeforeEach"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetControllerTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","Assertions"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","BeforeEach"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","ExtendWith"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","AssertJ"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\PetTypeFormatterTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\VisitControllerTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\VisitControllerTests.java","BeforeEach"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\owner\VisitControllerTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\PetclinicIntegrationTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\service\ClinicServiceTests.java","AssertJ"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\service\ClinicServiceTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\system\CrashControllerTests.java","Disabled"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\system\CrashControllerTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetControllerTests.java","Mockito"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetControllerTests.java","AssertJ"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetControllerTests.java","BeforeEach"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetControllerTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetTests.java","Test"
"spring-petclinic","D:\JUnit5Projects\spring-petclinic\src\test\java\org\springframework\samples\petclinic\vet\VetTests.java","AssertJ"
