"Project","File Path","Feature"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\JadxCLIArgsTest.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\JadxCLIArgsTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\JadxCLIArgsTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\RenameConverterTest.java","BeforeEach"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\RenameConverterTest.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\RenameConverterTest.java","assertEquals"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\RenameConverterTest.java","assertThrows"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\RenameConverterTest.java","assertTrue"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\TestInput.java","AfterAll"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\TestInput.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-cli\src\test\java\jadx\cli\TestInput.java","AssertJ"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxArgsValidatorOutDirsTest.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxArgsValidatorOutDirsTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxArgsValidatorOutDirsTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxDecompilerTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxDecompilerTest.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxDecompilerTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\api\JadxDecompilerTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\deobf\NameMapperTest.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\deobf\NameMapperTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\deobf\NameMapperTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\dex\info\AccessInfoTest.java","Test"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\dex\info\AccessInfoTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\dex\info\AccessInfoTest.java","Hamcrest"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\dex\info\AccessInfoTest.java","assertSame"
"v1.2.0 jadx","D:\JUnit5Projects\v1.2.0 jadx\jadx-core\src\test\java\jadx\core\dex\instructions\args\ArgTypeTest.java","Test"
