"Project","File Path","Feature"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\DataAccessExceptionTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\DataAccessExceptionTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\EurekaRegistryExceptionTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\EurekaRegistryExceptionTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\FrameworkExceptionTest.java","Assertions"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\FrameworkExceptionTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\FrameworkExceptionTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\NotSupportYetExceptionTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\NotSupportYetExceptionTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\ShouldNeverHappenExceptionTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\ShouldNeverHappenExceptionTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\StoreExceptionTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\exception\StoreExceptionTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\loader\EnhancedServiceLoaderTest.java","Assertions"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\loader\EnhancedServiceLoaderTest.java","Test"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\loader\EnhancedServiceLoaderTest.java","AssertJ"
"v1.4.0 seata","D:\JUnit5Projects\v1.4.0 seata\common\src\test\java\io\seata\common\rpc\RpcStatusTest.java","Assertions"
