"Project","File Path","Feature"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","AfterAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","BeforeAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","fail"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\GetVersionTest.java","OrderAnnotation"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CancelOfferTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CancelOfferTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CancelOfferTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CancelOfferTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CancelOfferTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CancelOfferTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","assertFalse"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingFixedPriceTest.java","assertNotEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","assertNotEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\CreateOfferUsingMarketPriceMarginTest.java","assertTrue"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\offer\ValidateCreateOfferTest.java","assertThrows"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","AfterAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","BeforeAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","TestInfo"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","fail"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\CreatePaymentAccountTest.java","OrderAnnotation"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","AfterAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","BeforeAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","assertTrue"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\payment\GetPaymentMethodsTest.java","fail"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","AfterAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","BeforeAll"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","assertThrows"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","fail"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\RegisterDisputeAgentsTest.java","OrderAnnotation"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","TestInfo"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","TestMethodOrder"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","assertEquals"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","assertFalse"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","assertNotNull"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeBuyBTCOfferTest.java","fail"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeSellBTCOfferTest.java","Disabled"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeSellBTCOfferTest.java","MethodOrderer"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeSellBTCOfferTest.java","Order"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeSellBTCOfferTest.java","Test"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeSellBTCOfferTest.java","TestInfo"
"v1.5.0 bisq","D:\JUnit5Projects\v1.5.0 bisq\apitest\src\test\java\bisq\apitest\method\trade\TakeSellBTCOfferTest.java","TestMethodOrder"
