"Project","File Path","Feature"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\DubboAppContextFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\DubboUtilsTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboProviderFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-api-gateway-adapter-common\src\test\java\com\alibaba\csp\sentinel\adapter\gateway\common\param\GatewayParamParserTest.java","AssertJ"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-api-gateway-adapter-common\src\test\java\com\alibaba\csp\sentinel\adapter\gateway\common\param\GatewayParamParserTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-api-gateway-adapter-common\src\test\java\com\alibaba\csp\sentinel\adapter\gateway\common\param\GatewayParamParserTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-api-gateway-adapter-common\src\test\java\com\alibaba\csp\sentinel\adapter\gateway\common\param\GatewayParamParserTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-api-gateway-adapter-common\src\test\java\com\alibaba\csp\sentinel\adapter\gateway\common\param\GatewayRegexCacheTest.java","AssertJ"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\AbstractDubboFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\AbstractDubboFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\DubboAppContextFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\DubboUtilsTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboProviderFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboProviderFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboProviderFilterTest.java","Mockito"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-jax-rs-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\jaxrs\ProviderFilterTest.java","Hamcrest"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","AfterEach"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","Assertions"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","BeforeEach"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","Test"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","RegisterExtension"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","AssertJ"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-annotation-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\annotation\deployment\SentinelAnnotationQuarkusAdapterTest.java","AssertJ"
"v1.8.0 Sentinel","D:\JUnit5Projects\v1.8.0 Sentinel\sentinel-adapter\sentinel-quarkus-adapter\sentinel-jax-rs-quarkus-adapter-deployment\src\test\java\com\alibaba\csp\sentinel\adapter\quarkus\jaxrs\deployment\SentinelJaxRsQuarkusAdapterTest.java","AfterEach"
