Project,Absolute Path,Feature
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\artifactory\ArtifactoryRepositoryTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\BomPluginIntegrationTests.java","BeforeEach"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\BomPluginIntegrationTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\BomPluginIntegrationTests.java","TempDir"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\UpgradeApplicatorTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\UpgradeApplicatorTests.java","TempDir"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\ArtifactVersionDependencyVersionTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\CalendarVersionDependencyVersionTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\DependencyVersionTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\NumericQualifierDependencyVersionTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\ReleaseTrainDependencyVersionTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\context\properties\CompoundConfigurationTableEntryTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\context\properties\ConfigurationTableTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\context\properties\SingleConfigurationTableEntryTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\ConventionsPluginTests.java","BeforeEach"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\ConventionsPluginTests.java","Test"
"v2.4.0 spring-boot","C:\JUnit5Projects\v2.4.0 spring-boot\buildSrc\src\test\java\org\springframework\boot\build\ConventionsPluginTests.java","TempDir"
