Project,Absolute Path,Feature
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\example\example-tc\src\test\java\com\codingapi\example\tc\service\DemoServiceTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\example\example-tc\src\test\java\com\codingapi\example\tc\service\DemoServiceTest.java","Assertions"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\aspect\TransactionAspectContextTest.java","BeforeEach"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\aspect\TransactionAspectContextTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\jdbc\sql\DataBaseAnalyseTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\jdbc\sql\MysqlSqlAnalyseTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\jdbc\sql\MysqlSqlAnalyseTest.java","assertTrue"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\runner\TmServerRunnerTest.java","BeforeEach"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tc\src\test\java\com\codingapi\txlcn\tc\runner\TmServerRunnerTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tm\src\test\java\com\codingapi\txlcn\tm\id\SnowflakeHandlerTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tm\src\test\java\com\codingapi\txlcn\tm\repository\TransactionGroupTest.java","Test"
"v5.x.last tx-lcn","C:\JUnit5Projects\v5.x.last tx-lcn\txlcn-tm\src\test\java\com\codingapi\txlcn\tm\repository\TransactionGroupTest.java","Assertions"
