App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
debezium,OffsetCommitPolicyTest.java,C:\JUNit5Projects\debezium\debezium-api\src\test\java\io\debezium\engine\OffsetCommitPolicyTest.java,C:\JUNit5Projects\debezium\debezium-api\src\main\java\io\debezium\engine\spi\OffsetCommitPolicy.java,engine\OffsetCommitPolicyTest.java,engine\spi\OffsetCommitPolicy.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
debezium,ValueConverterTest.java,C:\JUNit5Projects\debezium\debezium-api\src\test\java\io\debezium\spi\ValueConverterTest.java,,spi\ValueConverterTest.java,,true,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,false,true,false
debezium,CollectionIdTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\CollectionIdTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\CollectionId.java,connector\mongodb\CollectionIdTest.java,connector\mongodb\CollectionId.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
debezium,FiltersTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\FiltersTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\Filters.java,connector\mongodb\FiltersTest.java,connector\mongodb\Filters.java,true,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
debezium,LegacyV1SourceInfoTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\LegacyV1SourceInfoTest.java,,connector\mongodb\LegacyV1SourceInfoTest.java,,true,false,false,false,false,false,false,false,false,false,false,false,false,,,true,false,false,false,false,false
debezium,ModuleTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\ModuleTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\Module.java,connector\mongodb\ModuleTest.java,connector\mongodb\Module.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false
debezium,MongoDbConnectorTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\MongoDbConnectorTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\MongoDbConnector.java,connector\mongodb\MongoDbConnectorTest.java,connector\mongodb\MongoDbConnector.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
debezium,MongoUtilTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\MongoUtilTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\MongoUtil.java,connector\mongodb\MongoUtilTest.java,connector\mongodb\MongoUtil.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
debezium,ReplicaSetsTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\ReplicaSetsTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\ReplicaSets.java,connector\mongodb\ReplicaSetsTest.java,connector\mongodb\ReplicaSets.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
debezium,SourceInfoTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\SourceInfoTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\main\java\io\debezium\connector\mongodb\SourceInfo.java,connector\mongodb\SourceInfoTest.java,connector\mongodb\SourceInfo.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
debezium,TestHelper.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\TestHelper.java,,connector\mongodb\TestHelper.java,,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,false,false,false
debezium,TopicSelectorTest.java,C:\JUNit5Projects\debezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\TopicSelectorTest.java,,connector\mongodb\TopicSelectorTest.java,,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,false,false,false
